"Level";"Country";"State";"County";"Place";"Longitude";"Latitude";"ZoomLevel";"Icon"
0;HUN;;;;E20.000000;N47.000000;6;places/flags/HUN.gif
1;HUN;Baranya;;;E18.100000;N46.110000;8;places/HUN/flags/hun_ba_baranya.gif
2;HUN;Baranya;Pécs;;E18.226000;N46.076000;11;places/HUN/flags/hun_pecs.gif
1;HUN;Bács-Kiskun;;;E19.300000;N46.570000;7;places/HUN/flags/hun_bk_bacskiskun.gif
2;HUN;Bács-Kiskun;Kecskemét;;E19.693;N46.905;10;places/HUN/flags/hun_kecskemet.gif
1;HUN;Békés;;;E20.970000;N46.790000;8;places/HUN/flags/hun_bk_bekes.gif
2;HUN;Békés;Békéscsaba;;E21.088000;N46.675000;10;places/HUN/flags/hun_bekescsaba.gif
1;HUN;Borsod-Abaúj-Zemplén;;;E20.940000;N48.150000;8;places/HUN/flags/hun_bz_borsod.gif
2;HUN;Borsod-Abaúj-Zemplén;Miskolc;;E20.777000;N48.103000;10;places/HUN/flags/hun_miskolc.gif
1;HUN;Csongrád;;;E20.250000;N46.500000;8;places/HUN/flags/hun_cs_csongrad.gif
2;HUN;Csongrád;Szeged;;E20.149000;N46.255000;11;places/HUN/flags/hun_szeged.gif
1;HUN;Fejér;;;E18.510000;N47.170000;8;places/HUN/flags/hun_fe_fejer.gif
2;HUN;Fejér;Székesfehérvár;;E18.416000;N47.189000;10;places/HUN/flags/hun_szekesfehervar.gif
1;HUN;Győr-Moson-Sopron;;;E17.250000;N47.730000;8;places/HUN/flags/hun_gs_gyor.gif
2;HUN;Győr-Moson-Sopron;Győr;;E17.639000;N47.683000;11;places/HUN/flags/hun_gyor.gif
1;HUN;Hajdú-Bihar;;;E21.410000;N47.480000;8;places/HUN/flags/hun_hb_hajdu.gif
2;HUN;Hajdú-Bihar;Debrecen;;E21.634000;N47.529000;11;places/HUN/flags/hun_debrecen.gif
1;HUN;Heves;;;E20.070000;N47.830000;8;places/HUN/flags/hun_he_heves.gif
2;HUN;Heves;Eger;;E20.379000;N47.897000;11;places/HUN/flags/hun_eger.gif
1;HUN;Jász-Nagykun-Szolnok;;;E20.350000;N47.270000;8;places/HUN/flags/hun_jn_jasz.gif
2;HUN;Jász-Nagykun-Szolnok;Szolnok;;E20.201000;N47.173000;10;places/HUN/flags/hun_szolnok.gif
1;HUN;Komárom-Esztergom;;;E18.310000;N47.590000;9;places/HUN/flags/hun_ke_komarom.gif
2;HUN;Komárom-Esztergom;Tatabánya;;E18.408000;N47.569000;10;places/HUN/flags/hun_tatabanya.gif
1;HUN;Nógrád;;;E19.520000;N47.990000;8;places/HUN/flags/hun_no_nograd.gif
2;HUN;Nógrád;Salgótarján;;E19.791000;N48.091000;10;places/HUN/flags/hun_salgotarjan.gif
1;HUN;Pest;;;E19.390000;N47.460000;7;places/HUN/flags/hun_pe_pest.gif
2;HUN;Pest;Budapest;;E19.041000;N47.498000;10;places/HUN/flags/hun_budapest.gif
1;HUN;Somogy;;;E17.560000;N46.450000;8;places/HUN/flags/hun_so_somogy.gif
2;HUN;Somogy;Kaposvár;;E17.792000;N46.363000;10;places/HUN/flags/hun_kaposvar.gif
1;HUN;Szabolcs-Szatmár-Bereg;;;E22.090000;N48.050000;8;places/HUN/flags/hun_sz_szabol.gif
2;HUN;Szabolcs-Szatmár-Bereg;Nyíregyháza;;E21.727000;N47.953000;10;places/HUN/flags/hun_nyiregyhaza.gif
1;HUN;Tolna;;;E18.510000;N46.570000;8;places/HUN/flags/hun_to_tolna.gif
2;HUN;Tolna;Szekszárd;;E18.705000;N46.346000;9;places/HUN/flags/hun_szekszard.gif
1;HUN;Vas;;;E16.790000;N47.170000;8;places/HUN/flags/hun_va_vas.gif
2;HUN;Vas;Szombathely;;E16.621000;N47.231000;10;places/HUN/flags/hun_szombathely.gif
1;HUN;Veszprém;;;E17.640000;N47.140000;8;places/HUN/flags/hun_ve_veszprem.gif
2;HUN;Veszprém;Veszprém;;E17.910000;N47.100000;10;places/HUN/flags/hun_veszprem.gif
1;HUN;Zala;;;E16.890000;N46.680000;8;places/HUN/flags/hun_za_zala.gif
2;HUN;Zala;Zalaegerszeg;;E16.838000;N46.834000;10;places/HUN/flags/hun_zalaegerszeg.gif
